Title: Java Script
Author(s): Mark Twin
Year Published: 2022
Price: 234.0
Available quantity: 10
Pages: 234
ISBN: 12-34-78
Genres: Coding
Borrowers:
- Hosen
-------------------
Title: C++
Author(s): Steve
Year Published: 2002
Price: 222.0
Available quantity: 33
Pages: 678
ISBN: 222-098
Genres: Programming
Borrowers: None
Status: Removed
-------------------
Title: Java Crash
Author(s): Alen
Year Published: 2001
Price: 234.0
Available quantity: 22
Pages: 300
ISBN: 333-999
Genres: Coding
Borrowers: None
Status: This is a newly arrived book!!
-------------------
